fecha,edad,sexo,porcentaje_casos,acumulados_caso,porcentaje_fallecidos,acumulado_fallecidos
 2020-04-12,0-9,Hombre,0.5,23,0,0
 2020-04-12,10-19,Hombre,0.5,23,0,0
 2020-04-12,20-29,Hombre,4.1,178,0,0
 2020-04-12,30-39,Hombre,9,392,1,5
 2020-04-12,40-49,Hombre,13.5,590,1,5
 2020-04-12,50-59,Hombre,17.3,757,3.5,18
 2020-04-12,60-69,Hombre,18.9,824,11.8,60
 2020-04-12,70-79,Hombre,19.2,838,33.9,173
 2020-04-12,80-89,Hombre,13.7,597,36.7,187
 2020-04-12,90+,Hombre,3.4,148,12.2,62
 2020-04-12,0-9,Mujer,0.4,19,0,0
 2020-04-12,10-19,Mujer,0.7,35,0,0
 2020-04-12,20-29,Mujer,5.5,260,0,0
 2020-04-12,30-39,Mujer,10.8,508,0.3,1
 2020-04-12,40-49,Mujer,15.2,714,0,0
 2020-04-12,50-59,Mujer,17.4,815,2.2,8
 2020-04-12,60-69,Mujer,14.7,687,6,22
 2020-04-12,70-79,Mujer,13.8,647,21,77
 2020-04-12,80-89,Mujer,14.7,687,46.2,169
 2020-04-12,90+,Mujer,6.7,316,24.3,89
 2020-04-13,0-9,Hombre,0.5,24,0,0
 2020-04-13,10-19,Hombre,0.5,23,0,0
 2020-04-13,20-29,Hombre,4,179,0.2,1
 2020-04-13,30-39,Hombre,8.9,398,0.9,5
 2020-04-13,40-49,Hombre,13.4,598,0.9,5
 2020-04-13,50-59,Hombre,17.4,776,3.6,19
 2020-04-13,60-69,Hombre,18.9,842,11.8,62
 2020-04-13,70-79,Hombre,19.2,857,33.4,176
 2020-04-13,80-89,Hombre,13.6,605,37,195
 2020-04-13,90+,Hombre,3.4,151,12.1,64
 2020-04-13,0-9,Mujer,0.4,19,0,0
 2020-04-13,10-19,Mujer,0.8,36,0,0
 2020-04-13,20-29,Mujer,5.6,264,0,0
 2020-04-13,30-39,Mujer,10.8,514,0.3,1
 2020-04-13,40-49,Mujer,15.2,725,0,0
 2020-04-13,50-59,Mujer,17.3,824,2.1,8
 2020-04-13,60-69,Mujer,14.7,697,6.1,23
 2020-04-13,70-79,Mujer,14,664,20.3,77
 2020-04-13,80-89,Mujer,14.6,692,46.3,176
 2020-04-13,90+,Mujer,6.7,320,25,95
 2020-04-14,0-9,Hombre,0.6,25,0,0
 2020-04-14,10-19,Hombre,0.5,23,0,0
 2020-04-14,20-29,Hombre,4,181,0.2,1
 2020-04-14,30-39,Hombre,8.9,402,0.9,5
 2020-04-14,40-49,Hombre,13.4,601,0.9,5
 2020-04-14,50-59,Hombre,17.4,780,3.5,19
 2020-04-14,60-69,Hombre,18.9,849,11.7,64
 2020-04-14,70-79,Hombre,19.3,866,34.3,188
 2020-04-14,80-89,Hombre,13.7,617,36.9,202
 2020-04-14,90+,Hombre,3.4,151,11.7,64
 2020-04-14,0-9,Mujer,0.4,19,0,0
 2020-04-14,10-19,Mujer,0.8,37,0,0
 2020-04-14,20-29,Mujer,5.5,265,0,0
 2020-04-14,30-39,Mujer,10.7,517,0.3,1
 2020-04-14,40-49,Mujer,15.2,732,0.3,1
 2020-04-14,50-59,Mujer,17.2,826,2,8
 2020-04-14,60-69,Mujer,14.6,703,6,24
 2020-04-14,70-79,Mujer,14,672,19.9,79
 2020-04-14,80-89,Mujer,14.8,714,46.1,183
 2020-04-14,90+,Mujer,6.9,331,25.4,101
 2020-04-15,0-9,Hombre,0.6,29,0,0
 2020-04-15,10-19,Hombre,0.5,24,0,0
 2020-04-15,20-29,Hombre,4,186,0.2,1
 2020-04-15,30-39,Hombre,9,413,0.9,5
 2020-04-15,40-49,Hombre,13.3,610,0.9,5
 2020-04-15,50-59,Hombre,17.2,794,3.4,19
 2020-04-15,60-69,Hombre,18.7,860,11.9,67
 2020-04-15,70-79,Hombre,19.3,889,34,192
 2020-04-15,80-89,Hombre,13.8,633,37.2,210
 2020-04-15,90+,Hombre,3.6,165,11.5,65
 2020-04-15,0-9,Mujer,0.4,19,0,0
 2020-04-15,10-19,Mujer,0.7,37,0,0
 2020-04-15,20-29,Mujer,5.6,280,0,0
 2020-04-15,30-39,Mujer,10.7,531,0.2,1
 2020-04-15,40-49,Mujer,14.9,738,0.2,1
 2020-04-15,50-59,Mujer,17,845,2,8
 2020-04-15,60-69,Mujer,14.5,717,6.1,25
 2020-04-15,70-79,Mujer,13.9,688,19.9,81
 2020-04-15,80-89,Mujer,15.1,748,46.6,190
 2020-04-15,90+,Mujer,7.2,356,25,102
 2020-04-16,0-9,Hombre,0.6,29,0,0
 2020-04-16,10-19,Hombre,0.6,26,0,0
 2020-04-16,20-29,Hombre,4,189,0.2,1
 2020-04-16,30-39,Hombre,9,424,0.9,5
 2020-04-16,40-49,Hombre,13.2,621,1,6
 2020-04-16,50-59,Hombre,17.2,808,3.6,21
 2020-04-16,60-69,Hombre,18.6,876,11.8,69
 2020-04-16,70-79,Hombre,19.4,912,33.4,195
 2020-04-16,80-89,Hombre,13.7,645,37.6,219
 2020-04-16,90+,Hombre,3.7,173,11.5,67
 2020-04-16,0-9,Mujer,0.4,20,0,0
 2020-04-16,10-19,Mujer,0.7,38,0,0
 2020-04-16,20-29,Mujer,5.7,292,0,0
 2020-04-16,30-39,Mujer,10.7,549,0.2,1
 2020-04-16,40-49,Mujer,14.7,756,0.2,1
 2020-04-16,50-59,Mujer,17.1,876,1.9,8
 2020-04-16,60-69,Mujer,14.4,740,6.2,26
 2020-04-16,70-79,Mujer,13.6,699,19.7,82
 2020-04-16,80-89,Mujer,15.3,785,46.4,193
 2020-04-16,90+,Mujer,7.2,371,25.2,105
 2020-04-17,0-9,Hombre,0.6,29,0,0
 2020-04-17,10-19,Hombre,0.6,27,0,0
 2020-04-17,20-29,Hombre,4,192,0.2,1
 2020-04-17,30-39,Hombre,9.1,436,1,6
 2020-04-17,40-49,Hombre,13.1,631,1,6
 2020-04-17,50-59,Hombre,17.2,825,3.5,21
 2020-04-17,60-69,Hombre,18.7,898,11.9,72
 2020-04-17,70-79,Hombre,19.2,923,33.8,204
 2020-04-17,80-89,Hombre,13.8,663,37.4,226
 2020-04-17,90+,Hombre,3.7,178,11.3,68
 2020-04-17,0-9,Mujer,0.4,21,0,0
 2020-04-17,10-19,Mujer,0.7,39,0,0
 2020-04-17,20-29,Mujer,5.9,311,0,0
 2020-04-17,30-39,Mujer,10.8,575,0.2,1
 2020-04-17,40-49,Mujer,14.9,788,0.2,1
 2020-04-17,50-59,Mujer,17,902,1.8,8
 2020-04-17,60-69,Mujer,14.3,756,6.8,30
 2020-04-17,70-79,Mujer,13.5,714,21,92
 2020-04-17,80-89,Mujer,15.2,808,45.4,199
 2020-04-17,90+,Mujer,7.3,386,24.4,107
 2020-04-18,0-9,Hombre,0.6,28,0,0
 2020-04-18,10-19,Hombre,0.6,28,0,0
 2020-04-18,20-29,Hombre,4,196,0.2,1
 2020-04-18,30-39,Hombre,9.1,443,1,6
 2020-04-18,40-49,Hombre,13.1,637,1,6
 2020-04-18,50-59,Hombre,17.3,839,3.6,22
 2020-04-18,60-69,Hombre,18.7,910,12.2,75
 2020-04-18,70-79,Hombre,19.1,928,33.4,206
 2020-04-18,80-89,Hombre,13.7,666,37.5,231
 2020-04-18,90+,Hombre,3.7,179,11.2,69
 2020-04-18,0-9,Mujer,0.4,21,0,0
 2020-04-18,10-19,Mujer,0.7,39,0.2,1
 2020-04-18,20-29,Mujer,6,324,0,0
 2020-04-18,30-39,Mujer,10.8,580,0.2,1
 2020-04-18,40-49,Mujer,14.9,801,0.2,1
 2020-04-18,50-59,Mujer,17,919,1.8,8
 2020-04-18,60-69,Mujer,14.2,764,6.9,31
 2020-04-18,70-79,Mujer,13.3,719,20.7,93
 2020-04-18,80-89,Mujer,15.3,827,45.4,204
 2020-04-18,90+,Mujer,7.4,399,24.5,110
 2020-04-19,0-9,Hombre,0.6,28,0,0
 2020-04-19,10-19,Hombre,0.6,28,0,0
 2020-04-19,20-29,Hombre,4.1,198,0.2,1
 2020-04-19,30-39,Hombre,9.2,449,1,6
 2020-04-19,40-49,Hombre,13.2,643,1,6
 2020-04-19,50-59,Hombre,17.2,841,3.5,22
 2020-04-19,60-69,Hombre,18.7,916,12.3,77
 2020-04-19,70-79,Hombre,19.1,931,33.4,209
 2020-04-19,80-89,Hombre,13.7,670,37.7,236
 2020-04-19,90+,Hombre,3.7,182,11,69
 2020-04-19,0-9,Mujer,0.4,21,0,0
 2020-04-19,10-19,Mujer,0.8,42,0.2,1
 2020-04-19,20-29,Mujer,6.1,331,0,0
 2020-04-19,30-39,Mujer,10.8,587,0.2,1
 2020-04-19,40-49,Mujer,14.9,809,0.2,1
 2020-04-19,50-59,Mujer,17.1,929,1.7,8
 2020-04-19,60-69,Mujer,14.1,768,6.8,31
 2020-04-19,70-79,Mujer,13.3,722,20.5,94
 2020-04-19,80-89,Mujer,15.3,835,45.6,209
 2020-04-19,90+,Mujer,7.4,402,24.7,113
 2020-04-20,0-9,Hombre,0.6,29,0,0
 2020-04-20,10-19,Hombre,0.6,28,0,0
