"fecha","inci_14","inci_7","casos_tot","casos_24h_GVA","por_hosp","por_UCI","fallecidos_tot","hospitalizados","UCI"
"25-05-20",5.60,2.36,11056,,,,1331,,
"26-05-20",5.92,2.74,11089,,,,1332,,
"27-05-20",5.70,2.50,11100,,,,1332,,
"28-05-20",5.58,2.16,11160,,,,1332,,
"29-05-20",5.60,2.28,11191,,,,1332,,
"30-05-20",5.14,1.86,11199,,,,1332,,
"31-05-20",4.60,1.72,11201,,,,1332,,
"01-06-20",4.80,1.76,11228,,,,1332,,
"02-06-20",4.70,1.74,11238,,,,1332,,
"03-06-20",4.58,1.74,11254,,,,1332,,
"04-06-20",4.06,1.60,11265,,,,1332,,
"05-06-20",4.06,1.70,11285,,,,1332,,
"06-06-20",3.88,1.66,11300,,,,1332,,
"07-06-20",3.98,1.68,11314,,,,1332,,
"08-06-20",3.90,1.88,11332,,,,1332,,
"09-06-20",3.88,1.90,11342,,,,1332,,
"10-06-20",3.92,1.86,11361,,,,1332,,
"11-06-20",3.98,2.06,11381,,,,1332,,
"12-06-20",3.84,1.88,11389,,,,1332,,
"13-06-20",3.54,1.56,11393,,,,1332,,
"14-06-20",3.52,1.48,11404,,,,1332,,
"15-06-20",3.62,1.48,11418,,,,1332,,
"16-06-20",3.48,1.44,11421,,,,1332,,
"17-06-20",3.26,1.24,11431,,,,1332,,
"18-06-20",3.24,1.16,11441,,,,1332,,
"19-06-20",3.06,1.06,11451,,,,1430,,
"20-06-20",3.10,1.24,11476,,,,1431,,
"21-06-20",2.84,1.10,11479,,,,1431,,
"22-06-20",2.74,1.18,11486,,,,1431,,
"23-06-20",2.84,1.26,11494,,,,1431,,
"24-06-20",2.62,1.22,11501,,,,1432,,
"25-06-20",2.50,1.10,11509,,,,1432,, 
"26-06-20",2.24,0.78,11512,,,,1432,, 
"27-06-20",2.24,0.82,11531,,,,1432,, 
"28-06-20",2.18,0.82,11537,,,,1432,, 
"29-06-20",2.20,0.80,11541,,,,1432,, 
"30-06-20",2.86,1.38,11579,,,,1432,, 
"01-07-20",2.88,1.32,11588,,,,1432,, 
"02-07-20",3.08,1.70,11616,,,,1432,, 
"03-07-20",2.96,1.86,11630,,,,1432,, 
"06-07-20",3.18,1.60,11666,,,,1432,,
"07-07-20",3.36,1.78,11685,,,,1432,,
"08-07-20",3.40,1.72,11701,,,,1432,,
"09-07-20",3.62,1.76,11718,,,,1432,,
"10-07-20",3.94,1.80,11740,,,,1432,,
"13-07-20",4.08,2.26,11794,,,,1432,, 
"14-07-20",4.60,2.50,11831,,,,1432,, 
"15-07-20",4.72,2.50,11854,,,,1432,,
"16-07-20",5.12,2.84,11892,,,,1432,, 
"17-07-20",5.46,3.12,11933,,,,1432,,
"20-07-20",8.17,5.32,12103,,,,1433,,
"21-07-20",9.47,6.58,12182,,,,1433,, 
"22-07-20",10.17,7.27,12239,,,,1433,,
"23-07-20",11.49,8.07,12325,,,,1433,,
"24-07-20",13.29,9.43,12442,,,,1433,,
"27-07-20",18.65,11.45,12773,,,,1433,, 
"28-07-20",20.62,12.73,12887,,,,1434,,
"29-07-20",22.38,12.97,12999,,,,1434,, 
"30-07-20",26.12,15.35,13233,,,,1435,,
"31-07-20",26.84,14.65,13318,,,,1436,,
"03-08-20",32.52,17.63,13840,,,,1437,,
"04-08-20",34.05,18.27,13974,,,,1437,,
"05-08-20",37.75,21.30,14262,,,,1437,,
"06-08-20",39.11,20.86,14439,,,,1437,,
"07-08-20",45.97,25.12,14908,,,,1437,, 
"10-08-20",48.66,25.12,15411,,,,1438,,
"11-08-20",51.62,26.44,15663,,,,1439,, 
"12-08-20",54.22,26.56,15934,,,,1442,, 
"13-08-20",56.96,27.22,16292,,,,1442,,
"14-08-20",61.67,31.02,16777,,,,1442,,
"17-08-20",65.73,31.72,17492,,,,1443,,
"18-08-20",69.77,34.31,17881,,,,1444,,
"19-08-20",69.81,35.11,18172,,,,1447,,
"20-08-20",72.95,36.79,18647,,,,1446,347,35 
"21-08-20",76.46,37.91,19103,,,,1449,339,37
"24-08-20",79.48,36.55,19978,,,,1452,403,46
"25-08-20",89.41,45.11,20748,,,,1454,386,49
"27-08-20",101.14,52.10,22004,,,,1461,407,51
"28-08-20",106.98,55.94,22695,,,,1462,411,54
"31-08-20",114.79,54.46,24096,,,,1465,464,52
"01-09-20",127.16,63.11,25006,,,,1473,480,53
"02-09-20",127.68,62.43,25461,,,,1473,464,53
"03-09-20",128.78,59.36,25996,,,,1475,477,59
"04-09-20",132.78,60.35,26710,,,,1478,490,64
"07-09-20",126.66,46.70,27842,,,,1485,492,74
"08-09-20",130.80,51.62,28513,,,,1494,540,80
"09-09-20",133.76,52.54,29253,,,,1501,537,78
"10-09-20",131.80,49.84,29907,,,,1501,533,79
"11-09-20",135.54,55.66,30866,,,,1515,539,82
"14-09-20",114.79,43.27,31699,,,,1517,502,71
"15-09-20",124.07,52.24,32603,,,,1521,566,72
