"fecha","casos_tot","UCI","hospitalizados","fallecidos_tot"
"20-03-2020",19980,,,1002
"21-03-2020",24926,,,1326
"22-03-2020",28572,,,1720
"23-03-2020",33089,,,3355
"24-03-2020",39673,,,2696
"25-03-2020",47610,,,3434
"26-03-2020",56188,,,4089
"27-03-2020",64059,,,4858
"28-03-2020",72248,,,5690
"29-03-2020",78797,,,6528
"30-03-2020",85195,,,7340
"31-03-2020",94417,,,8189
"01-04-2020",102136,,,9053
"02-04-2020",110238,,,10003
"03-04-2020",117710,,,10935
"04-04-2020",124736,,,11744
"05-04-2020",130759,,,12418
"06-04-2020",135032,,,13055
"07-04-2020",140510,,,13798
"08-04-2020",146690,,,14555
"09-04-2020",152446,,,15238
"10-04-2020",157022,,,15843
"11-04-2020",161852,,,16353
"12-04-2020",166019,,,16972
"13-04-2020",169496,,,17489
"14-04-2020",172541,,,18056
"15-04-2020",177633,,,18579
"16-04-2020",182816,,,19130
"17-04-2020",188068,,,19478
"18-04-2020",192920,,,20043
"19-04-2020",198470,,,20453
"20-04-2020",201517,,,20852
"21-04-2020",205602,,,21282
"22-04-2020",209706,,,21717
"23-04-2020",214535,,,22157
"24-04-2020",202990,,,22524
"25-04-2020",205905,,,22902
"26-04-2020",207634,,,23190
"27-04-2020",209465,,,23521
"28-04-2020",210773,,,23822 
"29-04-2020",212917,,,24275 
"30-04-2020",213435,,,24543
"01-05-2020",215216,,,24824 
"02-05-2020",216582,,,25100 
"03-05-2020",217466,,,25264
"04-05-2020",218011,,,25428
"05-05-2020",219329,,,25613
"06-05-2020",220325,,,25857
"07-05-2020",221447,,,26070
"08-05-2020",222857,,,26299
"09-05-2020",223578,,,26478
"10-05-2020",224390,,,26621
"11-05-2020",227436,,,26744
"12-05-2020",228030,,,26920
"13-05-2020",228691,,,27104
"14-05-2020",229540,,,27321
"15-05-2020",230183,,,27459
"16-05-2020",230698,,,27563
"17-05-2020",231350,,,27650
"18-05-2020",231606,,,27709
"19-05-2020",232037,,,27778
"20-05-2020",232555,,,27888
"21-05-2020",233037,,,27940
"22-05-2020",234824,,,28628
"23-05-2020",235290,,,28678
"24-05-2020",235772,,,28752
"25-05-2020",235400,,,26834
"26-05-2020",236259,,,27117
"27-05-2020",236769,,,27118
"28-05-2020",237906,,,27119
"29-05-2020",238564,,,27121
"30-05-2020",239228,,,27125
"31-05-2020",239429,,,27127
"01-06-2020",239638,,,27127
"02-06-2020",239932,,,27127
"03-06-2020",240326,,,27128
"04-06-2020",240660,,,27133
"05-06-2020",240978,,,27134
"06-06-2020",241310,,,27135
"07-06-2020",241550,,,27136
"08-06-2020",241717,,,27136
"09-06-2020",241966,,,27136
"10-06-2020",242280,,,27136
"11-06-2020",242707,,,27136
"12-06-2020",243209,,,27136
"13-06-2020",243605,,,27136
"14-06-2020",243928,,,27136
"15-06-2020",244109,,,27136
"16-06-2020",244328,,,27136 
"17-06-2020",244683,,,27136
"18-06-2020",245268,,,27136
"19-06-2020",245575,,,28315
"20-06-2020",245938,,,28322 
"21-06-2020",246272,,,28323
"22-06-2020",246504,,,28324
"23-06-2020",246752,,,28325
"24-06-2020",247086,,,28327
"25-06-2020",247486,,,28330
"26-06-2020",247905,,,28338
"27-06-2020",248469,,,28341
"28-06-2020",248770,,,28343
"29-06-2020",248970,,,28346
"30-06-2020",249271,,,28355
"01-07-2020",249659,,,28363
"02-07-2020",250103,,,28368
"03-07-2020",250545,,,28385
"06-07-2020",251789,,,28388
"07-07-2020",252130,,,28392
"08-07-2020",252513,,,28396
"09-07-2020",253056,,,28401
"10-07-2020",253908,,,28403
"13-07-2020",255953,,,28406
"14-07-2020",256619,,,28409
"15-07-2020",257494,,,28413
"16-07-2020",258855,,,28416
"17-07-2020",260255,,,28420
"20-07-2020",264836,,,28422
"21-07-2020",266194,,,28424
"22-07-2020",267551,,,28426
"23-07-2020",270166,,,28429
"24-07-2020",272421,,,28432
"27-07-2020",278782,,,28434
"28-07-2020",280610,,,28436
"29-07-2020",282641,,,28441
"30-07-2020",285430,,,28443
"31-07-2020",288522,,,28445
"03-08-2020",297054,,,28472
"04-08-2020",302814,,,28498
"05-08-2020",305767,,,28499
"06-08-2020",309855,,,28500
"07-08-2020",314362,,,28503
"10-08-2020",322980,,,28576
"11-08-2020",326612,,,28581
"12-08-2020",329784,,,28579
"13-08-2020",337334,,,28605
"14-08-2020",342813,,,28617
"17-08-2020",359082,,,28646
"18-08-2020",364196,,,28670
"19-08-2020",370867,,,28797
"20-08-2020",377906,522,4636,28813
"21-08-2020",386054,541,4703,28838
"24-08-2020",405436,658,5484,28872
"25-08-2020",412553,677,5688,28924
"26-08-2020",419849,697,5903,28971
"27-08-2020",429507,715,6036,28996
"28-08-2020",439286,751,6224,29011
"31-08-2020",462858,846,6957,29094
"01-09-2020",470973,823,6807,29152
"02-09-2020",479554,874,6924,29194
"03-09-2020",488513,930,7194,29234
"04-09-2020",498989,976,7392,29418
"07-09-2020",525549,1034,7892,29516
"08-09-2020",534513,1051,7972,29594
"09-09-2020",543379,1131,8398,29628
"10-09-2020",554143,1136,8401,29699
"11-09-2020",566326,1181,8658,29747
"14-09-2020",593730,1157,9044,29848
"15-09-2020",603167,1273,9752,30004
"16-09-2020",614360,1281,9810,30243
"17-09-2020",625651,1331,10003,30405
"18-09-2020",640040,1345,10143,30495
"21-09-2020",671468,1417,11031,30663
"22-09-2020",682267,1438,10849,30904
"23-09-2020",693556,1436,10755,31034
"24-09-2020",704209,1445,11041,31118
"25-09-2020",716481,1465,11006,31232
"28-09-2020",748266,1529,11147,31411
"29-09-2020",758172,1535,10941,31614
"30-09-2020",769188,1539,10855,31791
"01-10-2020",778607,1561,10559,31973
"02-10-2020",789932,1566,10372,32086
"05-10-2020",813412,1580,10949,32225
"06-10-2020",825410,1544,10696,32486
"07-10-2020",835901,1568,10662,32562
"08-10-2020",848324,1585,10645,32688
"09-10-2020",861112,1590,10554,32929
"12-10-2020",888968,1546,10109,33124
"13-10-2020",896086,1595,11297,33204
