"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-04","Andalucía",430059,100.0,640350,98.5,832720,90.9,964535,76.2,236315,17.1,192971,11.9,40121,6.4,559,0.3,3337630,7062213,47.3
"2021-06-04","Aragón",100447,100.0,117238,98.6,142764,91.3,145329,73.3,37308,17.4,32061,13.9,6983,7.8,65,0.3,582195,1132764,51.4
"2021-06-04","Asturias",88138,100.0,112734,100.0,136844,91.4,124046,76.3,27016,16.2,20557,13.3,4641,8.6,54,0.3,514030,901209,57.0
"2021-06-04","Baleares",50386,100.0,76216,94.7,94388,80.5,109718,66.2,38635,18.7,26516,10.3,4448,5.2,43,0.2,400350,986279,40.6
"2021-06-04","Canarias",90764,100.0,145885,94.4,202191,86.0,230703,65.8,90646,23.4,46766,10.5,8184,5.0,91,0.2,815230,1871033,43.6
"2021-06-04","Cantabria",42031,100.0,55353,100.0,71710,92.7,57659,64.1,14823,15.2,12625,13.1,1845,5.3,10,0.1,256056,501384,51.1
"2021-06-04","Castilla y León",227993,100.0,247545,100.0,303043,95.1,204855,53.7,53746,14.8,47637,12.7,9371,6.5,121,0.3,1094311,2092873,52.3
"2021-06-04","Castilla la Mancha",136958,100.0,156403,98.3,205190,93.9,239521,77.9,60542,18.3,41012,10.9,8098,5.4,113,0.3,847837,1719964,49.3
"2021-06-04","Cataluña",453542,100.0,604576,95.2,710639,84.8,764903,70.1,181588,13.8,176061,11.8,48557,8.7,899,0.6,2940765,6531658,45.0
"2021-06-04","C. Valenciana",293774,100.0,426114,97.3,521237,89.8,488453,64.9,109833,12.9,107950,11.8,21629,6.1,196,0.2,1969186,4269305,46.1
"2021-06-04","Extremadura",77919,100.0,95075,100.0,125289,100.0,118998,70.3,26178,16.4,22484,11.7,2788,3.7,74,0.4,468805,911213,51.4
"2021-06-04","Galicia",239915,100.0,285998,98.7,324633,93.6,294345,72.5,57080,12.9,48169,10.8,6570,4.3,45,0.1,1256755,2362643,53.2
"2021-06-04","La Rioja",23253,100.0,28381,100.0,35609,94.4,30513,64.0,7579,14.3,7382,13.5,1506,7.1,10,0.2,134233,270788,49.6
"2021-06-04","Madrid",369438,100.0,501033,95.2,636355,90.5,655855,67.4,154669,13.3,171574,12.7,32840,6.8,464,0.3,2522228,5695623,44.3
"2021-06-04","Murcia",72991,100.0,99571,96.8,128793,87.7,158111,74.1,32770,12.9,31672,10.7,7596,6.4,143,0.4,531647,1237479,43.0
"2021-06-04","Navarra",42314,100.0,55443,99.4,68228,92.4,77104,79.7,16866,15.6,15420,13.4,3735,7.7,11,0.1,279121,552935,50.5
"2021-06-04","País Vasco",161684,100.0,209438,98.3,264208,94.3,216773,63.8,45152,12.5,46516,12.8,12002,8.6,45,0.1,955818,1898123,50.4
"2021-06-04","Ceuta",2343,89.9,3731,86.4,6730,85.7,9030,78.1,6811,53.9,2007,11.5,546,7.2,8,0.4,31206,66158,47.2
"2021-06-04","Melilla",1920,81.7,3120,83.2,6147,78.5,8037,71.1,7462,62.2,2005,11.1,315,3.7,7,0.3,29013,66178,43.8
"2021-06-04","España",2905898,100.0,3864217,97.6,4820002,90.3,4906872,69.8,1222759,15.5,1085544,12.3,229872,6.9,2971,0.3,19038135,40129822,47.4
"2021-06-07","Andalucía",430175,100.0,640726,98.5,836737,91.3,1005319,79.5,272631,19.7,194226,12.0,40741,6.5,576,0.3,3421131,7062213,48.4
"2021-06-07","Aragón",100493,100.0,117340,98.6,146987,94.0,157149,79.3,47695,22.2,34139,14.8,7665,8.6,71,0.3,611539,1132764,54.0
