"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-03-31","Andalucía",375382,413516,90.8,21914,650381,3.4,60757,916147,6.6,133942,1265021,10.6,316861,3009381,10.5,24984,625846,4.0,144,181921,0.1,933984,7062213,13.2
"2021-03-31","Aragón",71256,98807,72.1,3553,118955,3.0,11417,156367,7.3,22612,198266,11.4,46702,446083,10.5,5493,89180,6.2,28,25106,0.1,161061,1132764,14.2
"2021-03-31","Asturias",67037,87826,76.3,4258,109249,3.9,15803,149652,10.6,19259,162645,11.8,29619,322095,9.2,2816,54179,5.2,30,15563,0.2,138822,901209,15.4
"2021-03-31","Baleares",33141,49542,66.9,2346,80516,2.9,15295,117231,13.0,19592,165797,11.8,41453,464054,8.9,3517,85839,4.1,31,23300,0.1,115375,986279,11.7
"2021-03-31","Canarias",54220,90236,60.1,15913,154531,10.3,33435,235092,14.2,26623,350512,7.6,63706,832411,7.7,5593,163899,3.4,27,44352,0.1,199517,1871033,10.7
"2021-03-31","Cantabria",30858,41042,75.2,1827,53066,3.4,4962,77345,6.4,9927,89964,11.0,21036,194241,10.8,1409,34935,4.0,5,10791,0.0,70024,501384,14.0
"2021-03-31","Castilla y Leon",158345,223657,70.8,12861,245410,5.2,26304,318575,8.3,49803,381175,13.1,81619,738950,11.0,7049,144422,4.9,89,40684,0.2,336070,2092873,16.1
"2021-03-31","Castilla la Mancha",99503,135194,73.6,6609,159101,4.2,17253,218444,7.9,36035,307478,11.7,68206,707865,9.6,5534,149518,3.7,91,42364,0.2,233231,1719964,13.6
"2021-03-31","Cataluña",240692,447196,53.8,36372,635292,5.7,142711,837584,17.0,120739,1091780,11.1,279821,2803626,10.0,33296,556316,6.0,270,159864,0.2,853901,6531658,13.1
"2021-03-31","C. Valenciana",212048,276531,76.7,11809,437862,2.7,33846,580728,5.8,75799,752334,10.1,168852,1765967,9.6,14243,352834,4.0,106,103049,0.1,516703,4269305,12.1
"2021-03-31","Extremadura",62671,76005,82.5,4183,91876,4.6,18622,125297,14.9,19884,169216,11.8,37612,351778,10.7,1845,76088,2.4,41,20953,0.2,144858,911213,15.9
