"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_30-39","por_30-39","vac_20-29","por_20-29","vac_12-19","por_12-19","vac_5-11","por_5-11","tot_vac","pobl_tot","por_tot"
"2021-06-21","Aragón",98752,99.9,115828,97.4,48208,30.8,106983,54.0,40350,18.8,19894,12.1,13582,10.4,1002,1.0,0,0,444599,1185134,37.5
"2021-06-21","Asturias",87075,99.1,111387,100.0,35600,23.8,96675,59.4,31924,19.1,15123,13.2,9483,12.0,484,0.8,0,0,387751,933927,41.5
"2021-06-21","Baleares",49803,100.0,75860,94.2,18388,15.7,105854,63.8,40711,19.7,17896,9.8,10484,7.6,459,0.5,0,0,319455,1034867,30.9
"2021-06-21","Canarias",88453,98.0,142391,92.1,67090,28.5,189038,53.9,77186,19.9,27583,8.9,16870,6.7,604,0.3,0,0,609215,1960774,31.1
"2021-06-21","Cantabria",41573,100.0,54938,100.0,27073,35.0,38140,42.4,10819,11.1,5763,8.2,3640,7.2,86,0.2,0,0,182032,524127,34.7
"2021-06-21","Castilla y León",225157,100.0,245782,100.0,125974,39.5,152947,40.1,53460,14.7,29694,11.1,19734,9.4,684,0.4,0,0,853432,2176253,39.2
"2021-06-21","Castilla la Mancha",135031,99.9,154990,97.4,57207,26.2,190217,61.9,54442,16.5,19995,7.5,14049,6.4,562,0.3,0,0,626493,1808784,34.6
"2021-06-21","Cataluña",446206,99.8,594356,93.6,173535,20.7,601429,55.1,200053,15.2,109143,10.4,85056,10.1,5864,0.9,0,0,2215642,6868360,32.3
"2021-06-21","C. Valenciana",289060,100.0,416424,95.1,216615,37.3,313515,41.7,86429,10.1,44609,6.9,28861,5.6,1117,0.3,0,0,1396630,4488459,31.1
"2021-06-21","Extremadura",76579,100.0,90778,98.8,61449,49.0,96187,56.8,29142,18.3,13846,10.4,7119,6.3,251,0.3,0,0,375351,953437,39.4
"2021-06-21","Galicia",238515,100.0,285374,98.5,118320,34.1,263915,65.0,56385,12.7,30744,9.5,15014,6.5,233,0.1,0,0,1008500,2454497,41.1
