fecha,casos_tot,fallecidos_tot,casos_24h,fallecidos_24h,IA_14d,IA_7d
2020-04-12,9058.0,876.0,,,,
2020-04-13,9208.0,907.0,150.0,31.0,,
2020-04-14,9311.0,945.0,103.0,38.0,,
2020-04-15,9562.0,972.0,251.0,27.0,,
2020-04-16,9829.0,999.0,267.0,27.0,,
2020-04-17,10102.0,1042.0,273.0,43.0,,
2020-04-18,10247.0,1065.0,145.0,23.0,,23.9
2020-04-19,10332.0,1084.0,85.0,19.0,,25.61
2020-04-20,10396.0,1094.0,64.0,10.0,,23.88
2020-04-21,10572.0,1112.0,176.0,18.0,,25.35
2020-04-22,10735.0,1132.0,163.0,20.0,,23.58
2020-04-23,10906.0,1148.0,171.0,16.0,,21.65
2020-04-24,11121.0,1172.0,215.0,24.0,,20.48
2020-04-25,11370.0,1190.0,249.0,18.0,46.47,22.57
2020-04-26,11410.0,1194.0,40.0,4.0,47.28,21.67
2020-04-27,11656.0,1206.0,246.0,12.0,49.21,25.33
2020-04-28,11816.0,1225.0,160.0,19.0,50.35,25.01
2020-04-29,12058.0,1244.0,242.0,19.0,50.17,26.59
2020-04-30,12208.0,1253.0,150.0,9.0,47.82,26.17
2020-05-01,12513.0,1266.0,305.0,13.0,48.46,27.98
2020-05-02,12685.0,1274.0,172.0,8.0,49.01,26.43
2020-05-03,12834.0,1279.0,149.0,5.0,50.29,28.62
2020-05-04,12883.0,1289.0,49.0,10.0,49.99,24.66
2020-05-05,13064.0,1302.0,181.0,13.0,50.09,25.09
2020-05-06,13306.0,1315.0,242.0,13.0,51.68,25.09
2020-05-07,13502.0,1321.0,196.0,6.0,52.18,26.01
2020-05-08,13671.0,1328.0,169.0,7.0,51.26,23.28
2020-05-09,13835.0,1338.0,164.0,10.0,49.55,23.12
2020-05-10,13876.0,1345.0,41.0,7.0,49.57,20.94
2020-05-11,13932.0,1351.0,56.0,6.0,45.75,21.09
2020-05-12,14040.0,1355.0,108.0,4.0,44.7,19.62
2020-05-13,14149.0,1364.0,109.0,9.0,42.03,16.94
