fecha,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-04-26,3.28,4.47,34.68,40.54,42.16,54.1,50.45,59.84,155.79,397.51
2020-04-27,3.28,4.66,37.39,42.39,44.15,57.02,50.63,55.73,165.92,446.18
2020-04-28,3.28,4.85,37.98,45.16,46.15,62.47,53.73,53.67,154.03,436.04
2020-04-29,3.06,5.41,38.94,47.01,52.02,64.47,54.41,48.65,135.99,367.09
2020-04-30,3.06,5.03,38.75,46.09,52.02,62.87,53.04,42.02,118.39,328.55
2020-05-01,3.28,5.41,42.04,47.17,53.66,65.53,52.18,40.65,114.42,310.3
2020-05-02,4.38,5.41,43.79,49.02,55.43,65.93,52.69,39.97,110.9,292.05
2020-05-03,4.6,5.41,43.4,49.17,55.54,65.8,53.55,42.48,124.55,326.53
2020-05-04,4.38,5.03,43.4,49.32,55.31,66.06,53.9,42.48,121.47,310.3
2020-05-05,5.03,5.03,44.76,49.32,54.37,68.05,55.79,40.88,117.07,298.13
2020-05-06,5.47,5.96,47.66,51.64,57.42,69.78,58.89,40.2,115.74,279.88
2020-05-07,5.25,7.27,47.47,53.8,57.3,70.31,61.65,39.74,112.22,273.79
2020-05-08,5.47,7.83,46.31,52.56,57.07,68.19,61.65,40.65,105.62,259.6
2020-05-09,5.69,7.27,44.37,51.79,53.9,66.86,61.3,39.28,99.02,243.37
2020-05-10,5.91,7.27,43.98,53.02,53.9,67.26,60.96,39.05,98.14,235.26
2020-05-11,6.13,7.08,40.88,50.87,50.73,61.94,57.51,36.08,84.94,174.42
2020-05-12,6.35,7.08,42.63,48.86,50.61,58.62,54.76,35.86,83.62,168.33
2020-05-13,6.57,6.52,39.72,44.55,45.91,54.76,51.49,34.94,85.82,166.3
2020-05-14,6.57,7.46,42.43,47.63,48.26,57.16,51.49,36.31,88.02,166.3
2020-05-15,6.57,7.27,37.78,46.86,44.39,51.17,49.42,33.57,77.9,154.14
2020-05-16,6.35,8.57,35.26,46.24,43.8,50.78,48.39,35.17,75.26,148.05
2020-05-17,6.13,8.39,34.29,44.85,43.33,50.64,46.32,32.89,57.65,103.43
2020-05-18,6.35,8.39,34.68,45.78,43.92,50.91,47.01,33.34,58.09,103.43
2020-05-19,5.91,8.57,31.19,45.47,41.69,47.32,45.8,33.12,54.57,107.49
2020-05-20,5.47,7.27,29.06,43.47,40.16,43.46,42.36,31.97,47.09,83.15
2020-05-21,5.69,7.08,28.09,41.31,39.93,41.74,40.12,34.49,48.85,83.15
2020-05-22,5.69,6.71,29.84,39.31,38.05,39.61,37.54,32.66,45.77,79.1
2020-05-23,5.47,8.01,29.26,39.0,36.75,38.15,35.13,33.8,45.77,77.07
2020-05-24,5.47,8.2,29.06,37.92,35.93,37.62,35.3,34.26,46.65,79.1
2020-05-25,5.47,8.01,29.26,37.15,34.99,36.55,33.92,34.03,44.01,70.98
2020-05-26,5.25,8.76,29.06,39.15,34.88,36.02,36.33,35.86,48.41,70.98
2020-05-27,4.82,9.88,28.48,41.62,37.58,38.02,39.78,38.37,47.09,58.82
2020-05-28,5.91,9.32,24.8,37.61,35.23,33.89,38.06,38.14,42.69,52.73
2020-05-29,6.13,11.0,23.83,34.37,35.46,34.29,38.57,37.23,40.05,46.65
2020-05-30,6.13,10.06,22.67,32.52,33.11,32.17,37.37,37.45,38.29,46.65
2020-05-31,6.35,10.81,22.67,31.91,32.41,31.24,37.02,35.86,36.97,46.65
2020-06-01,6.13,11.56,23.64,32.06,32.64,31.24,36.68,35.17,36.09,44.62
2020-06-02,6.78,13.42,24.61,32.83,33.11,32.43,37.54,35.63,36.97,38.53
2020-06-03,7.44,14.35,24.8,32.22,31.82,31.5,37.71,34.94,37.85,36.51
2020-06-04,8.1,14.17,25.96,32.99,31.35,30.7,36.68,32.43,32.57,26.37
2020-06-05,8.54,14.35,23.06,33.29,32.18,31.37,36.16,34.03,34.33,20.28
2020-06-06,8.97,13.61,22.67,30.83,31.35,30.57,34.61,32.89,30.37,16.22
