fecha,IA_14d_mujer,IA_14d_hombre
2020-04-12,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-18,,
2020-04-19,,
2020-04-20,,
2020-04-21,,
2020-04-22,,
2020-04-23,,
2020-04-24,,
2020-04-25,54.93,36.2
2020-04-26,55.95,36.77
2020-04-27,59.76,36.69
2020-04-28,61.52,37.17
2020-04-29,61.75,36.57
2020-04-30,59.3,34.4
2020-05-01,60.35,34.6
2020-05-02,60.78,35.24
2020-05-03,63.19,35.32
2020-05-04,62.76,35.16
2020-05-05,62.88,35.24
2020-05-06,64.36,36.89
2020-05-07,64.79,37.45
2020-05-08,63.54,36.89
2020-05-09,61.63,35.44
2020-05-10,61.79,35.32
2020-05-11,56.8,32.83
2020-05-12,55.21,32.39
2020-05-13,52.01,30.34
2020-05-14,52.75,33.11
2020-05-15,48.51,31.03
2020-05-16,47.3,31.19
2020-05-17,43.71,30.67
2020-05-18,44.1,31.19
2020-05-19,42.74,29.34
2020-05-20,39.51,27.49
2020-05-21,38.45,27.29
2020-05-22,36.89,26.09
2020-05-23,35.73,26.05
2020-05-24,35.38,25.93
2020-05-25,34.25,25.49
2020-05-26,35.3,26.09
2020-05-27,36.39,28.06
2020-05-28,34.64,25.13
2020-05-29,33.78,25.17
2020-05-30,32.77,23.44
2020-05-31,32.22,23.04
2020-06-01,32.14,23.24
2020-06-02,32.77,24.28
2020-06-03,32.49,24.0
2020-06-04,31.91,23.36
2020-06-05,31.71,23.84
2020-06-06,30.35,22.92
2020-06-07,30.23,23.24
2020-06-08,31.91,24.6
2020-06-09,30.35,23.88
2020-06-10,28.64,22.08
2020-06-11,28.48,22.44
2020-06-12,28.83,21.92
2020-06-13,29.1,22.28
2020-06-14,29.03,22.2
2020-06-15,28.64,21.55
2020-06-16,26.77,20.03
2020-06-17,26.1,19.55
2020-06-18,25.28,18.99
2020-06-19,24.74,18.06
2020-06-20,24.74,18.62
2020-06-21,24.31,18.3
2020-06-22,23.41,17.26
2020-06-23,22.71,16.62
2020-06-24,22.09,15.85
2020-06-25,20.38,14.49
2020-06-26,19.64,14.53
2020-06-27,18.62,13.61
2020-06-28,18.86,13.65
2020-06-29,18.66,13.97
2020-06-30,20.14,14.73
2020-07-01,20.3,14.77
2020-07-02,20.22,15.45
2020-07-03,20.3,15.65
2020-07-04,18.82,14.53
2020-07-05,18.93,14.73
2020-07-06,18.7,15.17
2020-07-07,18.78,15.49
2020-07-08,18.62,15.53
2020-07-09,18.47,16.5
2020-07-10,17.88,15.89
2020-07-11,17.3,15.77
2020-07-12,17.3,15.85
2020-07-13,17.53,15.69
2020-07-14,16.4,15.05
2020-07-15,16.09,14.97
2020-07-16,15.82,14.09
2020-07-17,15.16,14.21
