fecha,casos_24h_mujer,fallecidos_24h_mujer,casos_24h_hombre,fallecidos_24h_hombre
2020-04-12,,,,
2020-04-13,67.0,14.0,83.0,17.0
2020-04-14,61.0,17.0,42.0,21.0
2020-04-15,143.0,11.0,108.0,16.0
2020-04-16,167.0,8.0,100.0,19.0
2020-04-17,174.0,22.0,99.0,21.0
2020-04-18,93.0,11.0,52.0,12.0
2020-04-19,53.0,9.0,32.0,10.0
2020-04-20,41.0,5.0,23.0,5.0
2020-04-21,91.0,10.0,85.0,8.0
2020-04-22,110.0,11.0,53.0,9.0
2020-04-23,113.0,8.0,58.0,8.0
2020-04-24,135.0,11.0,80.0,13.0
2020-04-25,162.0,11.0,87.0,7.0
2020-04-26,26.0,3.0,14.0,1.0
2020-04-27,165.0,7.0,81.0,5.0
2020-04-28,106.0,8.0,54.0,11.0
2020-04-29,149.0,10.0,93.0,9.0
2020-04-30,104.0,5.0,46.0,4.0
2020-05-01,201.0,3.0,104.0,10.0
2020-05-02,104.0,3.0,68.0,5.0
2020-05-03,115.0,4.0,34.0,1.0
2020-05-04,30.0,5.0,19.0,5.0
2020-05-05,94.0,7.0,87.0,6.0
2020-05-06,148.0,7.0,94.0,6.0
2020-05-07,124.0,3.0,72.0,3.0
2020-05-08,103.0,4.0,66.0,3.0
2020-05-09,113.0,5.0,51.0,5.0
2020-05-10,30.0,4.0,11.0,3.0
2020-05-11,37.0,2.0,19.0,4.0
2020-05-12,65.0,3.0,43.0,1.0
2020-05-13,67.0,2.0,42.0,7.0
2020-05-14,123.0,7.0,115.0,2.0
2020-05-15,92.0,5.0,52.0,3.0
2020-05-16,73.0,2.0,72.0,1.0
2020-05-17,23.0,3.0,21.0,1.0
2020-05-18,40.0,4.0,32.0,2.0
2020-05-19,59.0,0.0,41.0,1.0
2020-05-20,65.0,2.0,48.0,2.0
2020-05-21,97.0,0.0,67.0,1.0
2020-05-22,63.0,3.0,36.0,4.0
2020-05-23,83.0,1.0,50.0,1.0
2020-05-24,21.0,1.0,8.0,2.0
2020-05-25,8.0,1.0,8.0,0.0
2020-05-26,92.0,3.0,58.0,1.0
2020-05-27,95.0,0.0,91.0,1.0
2020-05-28,78.0,3.0,42.0,4.0
2020-05-29,70.0,4.0,53.0,0.0
2020-05-30,47.0,2.0,29.0,1.0
2020-05-31,9.0,0.0,11.0,0.0
2020-06-01,38.0,0.0,37.0,0.0
2020-06-02,75.0,0.0,67.0,0.0
2020-06-03,58.0,3.0,41.0,4.0
2020-06-04,82.0,3.0,51.0,2.0
2020-06-05,58.0,-1.0,48.0,1.0
2020-06-06,48.0,0.0,27.0,0.0
2020-06-07,18.0,0.0,16.0,0.0
2020-06-08,51.0,1.0,42.0,3.0
2020-06-09,52.0,0.0,40.0,2.0
2020-06-10,51.0,2.0,46.0,0.0
2020-06-11,74.0,0.0,51.0,2.0
2020-06-12,79.0,2.0,40.0,0.0
2020-06-13,54.0,1.0,38.0,1.0
2020-06-14,7.0,0.0,9.0,0.0
2020-06-15,28.0,0.0,21.0,1.0
2020-06-16,27.0,1.0,29.0,1.0
2020-06-17,41.0,1.0,29.0,3.0
2020-06-18,61.0,1.0,37.0,0.0
2020-06-19,44.0,0.0,25.0,1.0
2020-06-20,48.0,1.0,41.0,0.0
2020-06-21,7.0,0.0,8.0,0.0
2020-06-22,28.0,0.0,16.0,0.0
2020-06-23,34.0,0.0,24.0,1.0
2020-06-24,35.0,0.0,27.0,1.0
2020-06-25,30.0,0.0,17.0,0.0
2020-06-26,60.0,0.0,41.0,1.0
2020-06-27,28.0,0.0,15.0,2.0
2020-06-28,13.0,0.0,10.0,0.0
2020-06-29,23.0,0.0,29.0,0.0
2020-06-30,65.0,0.0,48.0,2.0
2020-07-01,45.0,0.0,30.0,0.0
2020-07-02,59.0,0.0,54.0,0.0
2020-07-03,46.0,0.0,30.0,0.0
2020-07-04,10.0,0.0,13.0,0.0
2020-07-05,10.0,0.0,13.0,0.0
2020-07-06,22.0,0.0,27.0,0.0
2020-07-07,36.0,1.0,32.0,0.0
2020-07-08,31.0,0.0,28.0,0.0
2020-07-09,26.0,0.0,41.0,0.0
2020-07-10,45.0,0.0,26.0,0.0
2020-07-11,13.0,0.0,12.0,0.0
2020-07-12,13.0,0.0,12.0,0.0
2020-07-13,29.0,0.0,25.0,0.0
2020-07-14,36.0,0.0,32.0,0.0
2020-07-15,37.0,0.0,28.0,0.0
2020-07-16,52.0,0.0,32.0,0.0
2020-07-17,29.0,0.0,33.0,0.0
2020-07-18,115.0,1.0,117.0,0.0
2020-07-19,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0
2020-07-21,54.0,0.0,50.0,0.0
2020-07-22,49.0,0.0,42.0,0.0
2020-07-23,73.0,0.0,54.0,0.0
2020-07-24,69.0,0.0,77.0,0.0
2020-07-25,49.0,0.0,44.0,0.0
2020-07-26,49.0,0.0,44.0,0.0
2020-07-27,99.0,0.0,90.0,0.0
2020-07-28,75.0,0.0,78.0,0.0
2020-07-29,80.0,1.0,59.0,0.0
2020-07-30,139.0,0.0,136.0,0.0
2020-07-31,64.0,0.0,63.0,1.0
2020-08-01,73.0,0.0,66.0,0.0
2020-08-02,73.0,0.0,66.0,0.0
2020-08-03,146.0,0.0,133.0,1.0
2020-08-04,93.0,0.0,79.0,0.0
2020-08-05,157.0,0.0,159.0,1.0
2020-08-06,93.0,0.0,85.0,0.0
2020-08-07,211.0,0.0,201.0,0.0
2020-08-08,89.0,0.0,79.0,0.0
2020-08-09,89.0,0.0,79.0,0.0
2020-08-10,178.0,0.0,159.0,1.0
2020-08-11,61.0,0.0,177.0,1.0
2020-08-12,256.0,2.0,131.0,1.0
