fecha,UCI,hospitalizados
2020-08-20,35.0,347.0
2020-08-21,37.0,339.0
2020-08-24,46.0,403.0
2020-08-25,49.0,386.0
2020-08-27,51.0,407.0
2020-08-28,54.0,411.0
2020-08-31,52.0,464.0
2020-09-01,53.0,480.0
2020-09-02,53.0,464.0
2020-09-03,59.0,477.0
2020-09-04,64.0,490.0
2020-09-07,74.0,492.0
2020-09-08,80.0,540.0
2020-09-09,78.0,537.0
2020-09-10,79.0,533.0
2020-09-11,82.0,539.0
2020-09-14,71.0,502.0
2020-09-15,72.0,566.0
2020-09-16,73.0,527.0
2020-09-17,74.0,528.0
2020-09-18,75.0,560.0
2020-09-22,89.0,564.0
2020-09-23,80.0,545.0
2020-09-24,76.0,526.0
2020-09-25,81.0,542.0
2020-09-28,79.0,533.0
2020-09-29,83.0,501.0
2020-09-30,78.0,472.0
2020-10-01,76.0,455.0
2020-10-02,75.0,451.0
2020-10-05,69.0,534.0
2020-10-06,70.0,464.0
2020-10-07,69.0,494.0
2020-10-08,71.0,473.0
2020-10-09,73.0,507.0
2020-10-12,73.0,507.0
2020-10-13,78.0,582.0
2020-10-14,90.0,616.0
2020-10-15,94.0,633.0
2020-10-16,100.0,657.0
2020-10-19,114.0,737.0
2020-10-20,123.0,778.0
2020-10-21,129.0,802.0
2020-10-22,125.0,837.0
2020-10-23,131.0,862.0
2020-10-26,144.0,1075.0
2020-10-27,165.0,1098.0
2020-10-28,173.0,1148.0
2020-10-29,178.0,1183.0
2020-10-30,188.0,1244.0
2020-11-02,219.0,1444.0
2020-11-03,224.0,1441.0
2020-11-04,227.0,1484.0
2020-11-05,235.0,1497.0
2020-11-06,247.0,1504.0
2020-11-09,268.0,1727.0
2020-11-10,272.0,1713.0
2020-11-11,276.0,1784.0
2020-11-12,284.0,1731.0
2020-11-13,282.0,1727.0
2020-11-16,299.0,1803.0
2020-11-17,312.0,1787.0
2020-11-18,304.0,1780.0
2020-11-19,306.0,1812.0
2020-11-20,320.0,1714.0
2020-11-23,316.0,1674.0
2020-11-24,300.0,1559.0
2020-11-25,317.0,1502.0
2020-11-26,316.0,1468.0
2020-11-27,307.0,1440.0
2020-11-30,287.0,1366.0
2020-12-01,305.0,1397.0
2020-12-02,302.0,1363.0
2020-12-03,290.0,1309.0
2020-12-04,277.0,1225.0
2020-12-09,252.0,1260.0
2020-12-10,240.0,1200.0
2020-12-11,243.0,1175.0
2020-12-14,242.0,1225.0
2020-12-15,234.0,1245.0
2020-12-16,227.0,1250.0
2020-12-17,227.0,1233.0
2020-12-18,239.0,1247.0
2020-12-21,253.0,1503.0
2020-12-22,252.0,1526.0
2020-12-23,265.0,1514.0
