fecha,casos_24h,fallecidos_24h
2020-04-12,0.0,0.0
2020-04-19,1274.0,208.0
2020-04-26,1078.0,110.0
2020-05-03,1424.0,85.0
2020-05-10,1042.0,66.0
2020-05-17,844.0,43.0
2020-05-24,710.0,24.0
2020-05-31,691.0,20.0
2020-06-07,664.0,12.0
2020-06-14,634.0,14.0
2020-06-21,446.0,10.0
2020-06-28,378.0,5.0
2020-07-05,475.0,2.0
2020-07-12,366.0,1.0
2020-07-19,563.0,1.0
2020-07-26,654.0,0.0
2020-08-02,1161.0,2.0
2020-08-09,1693.0,2.0
2020-08-16,2247.0,5.0
2020-08-23,2726.0,10.0
2020-08-30,4008.0,13.0
2020-09-06,4132.0,22.0
2020-09-13,4100.0,26.0
2020-09-20,3758.0,29.0
2020-09-27,4058.0,40.0
2020-10-04,3929.0,31.0
2020-10-11,2910.0,28.0
2020-10-18,4198.0,39.0
2020-10-25,6336.0,43.0
2020-11-01,7667.0,63.0
2020-11-08,9149.0,85.0
2020-11-15,11234.0,131.0
2020-11-22,10367.0,165.0
2020-11-29,8414.0,136.0
2020-12-06,8813.0,134.0
2020-12-13,6276.0,116.0
2020-12-20,12670.0,127.0
2020-12-27,9456.0,82.0
2021-01-03,11983.0,196.0
2021-01-10,21355.0,242.0
2021-01-17,35957.0,316.0
2021-01-24,48350.0,571.0
2021-01-31,54135.0,671.0
2021-02-07,36087.0,621.0
2021-02-14,18071.0,535.0
2021-02-21,10885.0,444.0
2021-02-28,3619.0,294.0
2021-03-07,2735.0,154.0
2021-03-14,1767.0,137.0
2021-03-21,966.0,64.0
2021-03-28,1076.0,73.0
2021-04-04,1003.0,53.0
2021-04-11,1115.0,36.0
2021-04-18,1117.0,35.0
2021-04-25,1234.0,40.0
2021-05-02,1154.0,34.0
2021-05-09,916.0,48.0
2021-05-16,752.0,33.0
2021-05-23,971.0,13.0
2021-05-30,1053.0,16.0
2021-06-06,1162.0,9.0
2021-06-13,1164.0,4.0
2021-06-20,1261.0,2.0
2021-06-27,2239.0,3.0
2021-07-04,7231.0,7.0
2021-07-11,10451.0,6.0
2021-07-18,14411.0,7.0
2021-07-25,17295.0,9.0
2021-08-01,16451.0,21.0
2021-08-08,12412.0,32.0
2021-08-15,9086.0,38.0
2021-08-22,6827.0,48.0
2021-08-29,5350.0,35.0
2021-09-05,3843.0,46.0
2021-09-12,2379.0,36.0
2021-09-19,1745.0,22.0
2021-09-26,1366.0,23.0
2021-10-03,1182.0,10.0
2021-10-10,871.0,18.0
2021-10-17,993.0,11.0
2021-10-24,1479.0,10.0
2021-10-31,1585.0,16.0
2021-11-07,1828.0,12.0
2021-11-14,2627.0,17.0
2021-11-21,3923.0,15.0
2021-11-28,6280.0,26.0
2021-12-05,9188.0,24.0
2021-12-12,12295.0,38.0
2021-12-19,20952.0,48.0
2021-12-26,28426.0,41.0
2022-01-02,48192.0,54.0
2022-01-09,78112.0,87.0
2022-01-16,106123.0,77.0
2022-01-23,130277.0,107.0
2022-01-30,143554.0,127.0
2022-02-06,81110.0,160.0
2022-02-13,52430.0,150.0
2022-02-20,31462.0,114.0
2022-02-27,14704.0,61.0
