fecha,casos_tot,fallecidos_tot,casos_24h,fallecidos_24h,IA_14d,IA_7d
2020-03-20,19980.0,1002.0,,,,
2020-03-21,24926.0,1326.0,4946.0,104.0,,
2020-03-22,28572.0,1720.0,3646.0,174.0,,
2020-03-23,33089.0,3355.0,4517.0,1415.0,,
2020-03-24,39673.0,2696.0,6584.0,1.0,,
2020-03-25,47610.0,3434.0,7552.0,738.0,,
2020-03-26,56188.0,4089.0,8193.0,655.0,,74.84
2020-03-27,64059.0,4858.0,7486.0,769.0,,90.65
2020-03-28,72248.0,5690.0,7804.0,832.0,,96.69
2020-03-29,78797.0,6528.0,6164.0,838.0,,102.0
2020-03-30,85195.0,7340.0,6013.0,812.0,,105.16
2020-03-31,94417.0,8189.0,8837.0,849.0,,109.92
2020-04-01,102136.0,9053.0,7334.0,864.0,,109.46
2020-04-02,110238.0,10003.0,7717.0,950.0,183.29,108.45
2020-04-03,117710.0,10935.0,7087.0,932.0,198.26,107.61
2020-04-04,124736.0,11744.0,6641.0,809.0,201.84,105.16
2020-04-05,130759.0,12418.0,5638.0,674.0,206.05,104.05
2020-04-06,135032.0,13055.0,3888.0,637.0,204.72,99.56
2020-04-07,140510.0,13798.0,5093.0,743.0,201.57,91.65
2020-04-08,146690.0,14555.0,5795.0,757.0,197.86,88.4
2020-04-09,152446.0,15238.0,5371.0,683.0,191.9,83.45
2020-04-10,157022.0,15843.0,4191.0,605.0,184.94,77.33
2020-04-11,161852.0,16353.0,4445.0,510.0,177.85,72.69
2020-04-12,166019.0,16972.0,3782.0,619.0,172.82,68.77
2020-04-13,169496.0,17489.0,3092.0,517.0,166.65,67.09
2020-04-14,172541.0,18056.0,2660.0,567.0,153.6,61.95
2020-04-15,177633.0,18579.0,4707.0,523.0,148.06,59.66
2020-04-16,182816.0,19130.0,4798.0,551.0,141.89,58.45
2020-04-17,188068.0,19478.0,4867.0,347.0,137.2,59.87
2020-04-18,192920.0,20043.0,4467.0,562.0,132.61,59.92
2020-04-19,198470.0,20453.0,5165.0,406.0,131.61,62.84
2020-04-20,201517.0,20852.0,2662.0,395.0,129.02,61.93
2020-04-21,205602.0,21282.0,3700.0,424.0,126.08,64.13
2020-04-22,209706.0,21717.0,3719.0,429.0,121.7,62.04
2020-04-23,214535.0,22157.0,4444.0,432.0,119.74,61.29
2020-04-24,202990.0,22524.0,5.0,358.0,110.9,51.03
2020-04-25,205905.0,22902.0,2902.0,304.0,107.64,47.72
2020-04-26,207634.0,23190.0,1716.0,214.0,103.28,40.44
2020-04-27,209465.0,23521.0,1818.0,256.0,100.59,38.66
2020-04-28,210773.0,23822.0,1295.0,225.0,97.71,33.58
2020-04-29,212917.0,24275.0,2131.0,376.0,92.27,30.22
2020-04-30,213435.0,24543.0,505.0,190.0,83.2,21.9
2020-05-01,215216.0,24824.0,1768.0,202.0,76.65,25.63
2020-05-02,216582.0,25100.0,1353.0,196.0,70.08,22.36
2020-05-03,217466.0,25264.0,871.0,83.0,61.01,20.57
2020-05-04,218011.0,25428.0,532.0,82.0,56.51,17.86
2020-05-05,219329.0,25613.0,1305.0,102.0,51.45,17.88
2020-05-06,220325.0,25857.0,983.0,160.0,45.68,15.45
2020-05-07,221447.0,26070.0,1109.0,128.0,38.63,16.73
2020-05-08,222857.0,26299.0,1397.0,143.0,41.57,15.94
2020-05-09,223578.0,26478.0,708.0,92.0,36.94,14.58
2020-05-10,224390.0,26621.0,799.0,55.0,35.0,14.43
2020-05-11,227436.0,26744.0,3033.0,34.0,37.57,19.71
2020-05-12,228030.0,26920.0,581.0,86.0,36.06,18.18
2020-05-13,228691.0,27104.0,648.0,93.0,32.93,17.48
2020-05-14,229540.0,27321.0,836.0,125.0,33.63,16.9
2020-05-15,230183.0,27459.0,630.0,45.0,31.22,15.28
2020-05-16,230698.0,27563.0,502.0,10.0,29.43,14.84
2020-05-17,231350.0,27650.0,639.0,23.0,28.94,14.51
2020-05-18,231606.0,27709.0,243.0,26.0,28.33,8.61
2020-05-19,232037.0,27778.0,418.0,6.0,26.45,8.27
2020-05-20,232555.0,27888.0,505.0,17.0,25.44,7.97
2020-05-21,233037.0,27940.0,469.0,20.0,24.09,7.19
2020-05-22,234824.0,28628.0,1774.0,595.0,24.89,9.61
2020-05-23,235290.0,28678.0,453.0,18.0,24.35,9.51
2020-05-24,235772.0,28752.0,469.0,12.0,23.65,9.15
2020-05-25,235400.0,26834.0,18.0,4.0,17.29,8.67
2020-05-26,236259.0,27117.0,859.0,254.0,17.87,9.6
2020-05-27,236769.0,27118.0,510.0,2.0,17.58,9.61
2020-05-28,237906.0,27119.0,1137.0,2.0,18.22,11.02
2020-05-29,238564.0,27121.0,658.0,3.0,18.28,8.67
2020-05-30,239228.0,27125.0,664.0,5.0,18.62,9.11
2020-05-31,239429.0,27127.0,201.0,3.0,17.69,8.55
2020-06-01,239638.0,27127.0,209.0,1.0,17.62,8.95
2020-06-02,239932.0,27127.0,294.0,1.0,17.36,7.76
2020-06-03,240326.0,27128.0,394.0,2.0,17.13,7.51
2020-06-04,240660.0,27133.0,334.0,6.0,16.84,5.82
2020-06-05,240978.0,27134.0,318.0,2.0,13.77,5.1
2020-06-06,241310.0,27135.0,332.0,2.0,13.51,4.4
2020-06-07,241550.0,27136.0,240.0,2.0,13.03,4.48
2020-06-08,241717.0,27136.0,167.0,1.0,13.34,4.39
2020-06-09,241966.0,27136.0,249.0,1.0,12.05,4.3
2020-06-10,242280.0,27136.0,314.0,1.0,11.64,4.13
2020-06-11,242707.0,27136.0,427.0,1.0,10.14,4.32
2020-06-12,243209.0,27136.0,502.0,1.0,9.81,4.71
2020-06-13,243605.0,27136.0,396.0,1.0,9.24,4.85
2020-06-14,243928.0,27136.0,323.0,1.0,9.5,5.02
2020-06-15,244109.0,27136.0,181.0,1.0,9.44,5.05
2020-06-16,244328.0,27136.0,219.0,1.0,9.28,4.99
2020-06-17,244683.0,27136.0,355.0,1.0,9.2,5.07
2020-06-18,245268.0,27136.0,585.0,1.0,9.73,5.41
2020-06-19,245575.0,28315.0,307.0,1149.0,9.71,5.0
2020-06-20,245938.0,28322.0,363.0,7.0,9.77,4.93
2020-06-21,246272.0,28323.0,334.0,1.0,9.97,4.95
2020-06-22,246504.0,28324.0,232.0,1.0,10.11,5.06
2020-06-23,246752.0,28325.0,248.0,2.0,10.11,5.12
2020-06-24,247086.0,28327.0,334.0,4.0,10.15,5.07
