fecha,UCI,hospitalizados
2020-08-20,522.0,4636.0
2020-08-21,541.0,4703.0
2020-08-24,658.0,5484.0
2020-08-25,677.0,5688.0
2020-08-26,697.0,5903.0
2020-08-27,715.0,6036.0
2020-08-28,751.0,6224.0
2020-08-31,846.0,6957.0
2020-09-01,823.0,6807.0
2020-09-02,874.0,6924.0
2020-09-03,930.0,7194.0
2020-09-04,976.0,7392.0
2020-09-07,1034.0,7892.0
2020-09-08,1051.0,7972.0
2020-09-09,1131.0,8398.0
2020-09-10,1136.0,8401.0
2020-09-11,1181.0,8658.0
2020-09-14,1157.0,9044.0
2020-09-15,1273.0,9752.0
2020-09-16,1281.0,9810.0
2020-09-17,1331.0,10003.0
2020-09-18,1345.0,10143.0
2020-09-21,1417.0,11031.0
2020-09-22,1438.0,10849.0
2020-09-23,1436.0,10755.0
2020-09-24,1445.0,11041.0
2020-09-25,1465.0,11006.0
2020-09-28,1529.0,11147.0
2020-09-29,1535.0,10941.0
2020-09-30,1539.0,10855.0
2020-10-01,1561.0,10559.0
2020-10-02,1566.0,10372.0
2020-10-05,1580.0,10949.0
2020-10-06,1544.0,10696.0
2020-10-07,1568.0,10662.0
2020-10-08,1585.0,10645.0
2020-10-09,1590.0,10554.0
2020-10-12,1546.0,10109.0
2020-10-13,1595.0,11297.0
2020-10-14,1652.0,11671.0
2020-10-15,1702.0,11692.0
2020-10-16,1768.0,11784.0
2020-10-19,1857.0,12945.0
2020-10-20,1911.0,13288.0
2020-10-21,1930.0,13698.0
2020-10-22,1966.0,14160.0
2020-10-23,2031.0,14539.0
2020-10-26,2163.0,16008.0
2020-10-27,2292.0,16696.0
2020-10-28,2368.0,17073.0
2020-10-29,2404.0,17520.0
2020-10-30,2482.0,18162.0
2020-11-02,2650.0,19170.0
2020-11-03,2754.0,19943.0
2020-11-04,2786.0,20325.0
2020-11-05,2802.0,20281.0
2020-11-06,2863.0,20239.0
2020-11-09,3007.0,21029.0
2020-11-10,3064.0,20943.0
2020-11-11,3093.0,21051.0
2020-11-12,3123.0,20525.0
2020-11-13,3125.0,20296.0
2020-11-16,3156.0,20452.0
2020-11-17,3127.0,20007.0
2020-11-18,3120.0,19403.0
2020-11-19,3125.0,18961.0
2020-11-20,3054.0,17963.0
2020-11-23,2922.0,17695.0
2020-11-24,2853.0,16701.0
2020-11-25,2838.0,15986.0
2020-11-26,2815.0,15316.0
2020-11-27,2777.0,14819.0
2020-11-30,2629.0,14503.0
2020-12-01,2578.0,14243.0
2020-12-02,2485.0,13567.0
2020-12-03,2440.0,13063.0
2020-12-04,2371.0,12552.0
2020-12-09,2179.0,12158.0
2020-12-10,2158.0,11965.0
2020-12-11,2100.0,11648.0
2020-12-14,2068.0,11736.0
2020-12-15,2027.0,11736.0
2020-12-16,1964.0,11346.0
2020-12-17,1955.0,11336.0
2020-12-18,1920.0,11224.0
2020-12-21,1944.0,11431.0
2020-12-22,1906.0,11500.0
2020-12-23,1932.0,11328.0
2020-12-24,1907.0,10744.0
2020-12-28,2022.0,12172.0
2020-12-29,2005.0,12032.0
2020-12-30,2035.0,11905.0
2020-12-31,2018.0,11535.0
2021-01-04,2192.0,13458.0
2021-01-05,2220.0,13841.0
2021-01-07,2307.0,14543.0
2021-01-08,2318.0,14951.0
2021-01-11,2511.0,16792.0
2021-01-12,2651.0,17645.0
2021-01-13,2744.0,18215.0
2021-01-14,2849.0,18924.0
2021-01-15,2953.0,19657.0
2021-01-18,3287.0,23184.0
2021-01-19,3416.0,24185.0
2021-01-20,3583.0,25228.0
2021-01-21,3734.0,26542.0
2021-01-22,3908.0,27462.0
2021-01-25,4284.0,30483.0
2021-01-26,4433.0,30815.0
2021-01-27,4515.0,30789.0
2021-01-28,4608.0,30726.0
2021-01-29,4723.0,30804.0
2021-02-01,4894.0,32023.0
2021-02-02,4853.0,31118.0
2021-02-03,4836.0,30256.0
2021-02-04,4823.0,29276.0
2021-02-05,4795.0,28586.0
2021-02-08,4732.0,27739.0
2021-02-09,4594.0,26101.0
2021-02-10,4548.0,24821.0
2021-02-11,4432.0,23500.0
2021-02-12,4350.0,22311.0
2021-02-15,4128.0,21030.0
2021-02-16,4053.0,19595.0
2021-02-17,3909.0,18322.0
2021-02-18,3822.0,17259.0
2021-02-19,3739.0,16314.0
2021-02-22,3533.0,15208.0
2021-02-23,3365.0,14169.0
2021-02-24,3241.0,13495.0
2021-02-25,3123.0,12831.0
2021-02-26,3021.0,12207.0
2021-03-01,2923.0,11754.0
2021-03-02,2796.0,11246.0
2021-03-03,2709.0,10788.0
2021-03-04,2615.0,10200.0
2021-03-05,2571.0,9896.0
2021-03-08,2471.0,9761.0
2021-03-09,2358.0,9381.0
2021-03-10,2320.0,9116.0
2021-03-11,2264.0,8759.0
2021-03-12,2186.0,8540.0
2021-03-15,2112.0,8682.0
2021-03-16,2037.0,8348.0
2021-03-17,1997.0,8071.0
2021-03-18,1950.0,7841.0
2021-03-22,1935.0,8010.0
2021-03-23,1880.0,7926.0
2021-03-24,1855.0,7806.0
2021-03-25,1853.0,7798.0
2021-03-26,1830.0,7679.0
2021-03-29,1861.0,8076.0
2021-03-30,1844.0,8065.0
2021-03-31,1831.0,8083.0
2021-04-01,1843.0,7937.0
2021-04-03,1892.0,8416.0
2021-04-05,1925.0,8944.0
2021-04-06,1990.0,9463.0
2021-04-07,2009.0,9412.0
2021-04-08,2024.0,9384.0
2021-04-09,2050.0,9359.0
2021-04-12,2163.0,10246.0
2021-04-13,2152.0,9953.0
2021-04-14,2153.0,9795.0
2021-04-15,2143.0,9724.0
2021-04-16,2180.0,9788.0
2021-04-19,2276.0,10447.0
2021-04-20,2289.0,10345.0
2021-04-21,2288.0,10108.0
