fecha,casos_tot,fallecidos_tot,casos_24h,fallecidos_24h,IA_14d,IA_7d
2020-04-02,110238.0,10003.0,8102.0,950.0,190.61,114.15
2020-04-03,117710.0,10935.0,7472.0,932.0,206.39,113.3
2020-04-04,124736.0,11744.0,7026.0,809.0,210.78,110.85
2020-04-05,130759.0,12418.0,6023.0,674.0,215.8,109.74
2020-04-06,135032.0,13055.0,4273.0,637.0,215.29,105.25
2020-04-07,140510.0,13798.0,5478.0,743.0,212.95,97.34
2020-04-08,146690.0,14555.0,6180.0,757.0,209.24,94.09
2020-04-09,152446.0,15238.0,5756.0,683.0,203.28,89.14
2020-04-10,157022.0,15843.0,4576.0,605.0,196.33,83.02
2020-04-11,161852.0,16353.0,4830.0,510.0,189.23,78.38
2020-04-12,166019.0,16972.0,4167.0,619.0,184.2,74.46
2020-04-13,169496.0,17489.0,3477.0,517.0,178.03,72.78
2020-04-14,172541.0,18056.0,3045.0,567.0,164.99,67.65
2020-04-15,177633.0,18579.0,5092.0,523.0,159.44,65.35
2020-04-16,182816.0,19130.0,5183.0,551.0,153.27,64.14
2020-04-17,188068.0,19478.0,5252.0,348.0,148.59,65.56
2020-04-18,192920.0,20043.0,4852.0,565.0,144.0,65.61
2020-04-19,198470.0,20453.0,5550.0,410.0,143.0,68.53
2020-04-20,201517.0,20852.0,3047.0,399.0,140.41,67.62
2020-04-21,205602.0,21282.0,4085.0,430.0,137.47,69.82
2020-04-22,209706.0,21717.0,4104.0,435.0,133.08,67.73
2020-04-23,214535.0,22157.0,4829.0,440.0,131.12,66.99
2020-04-24,202990.0,22524.0,-11545.0,367.0,97.08,31.51
2020-04-25,205905.0,22902.0,2915.0,378.0,93.03,27.42
2020-04-26,207634.0,23190.0,1729.0,288.0,87.89,19.35
2020-04-27,209465.0,23521.0,1831.0,331.0,84.41,16.79
2020-04-28,210773.0,23822.0,1308.0,301.0,80.74,10.92
2020-04-29,212917.0,24275.0,2144.0,453.0,74.51,6.78
2020-04-30,213435.0,24543.0,518.0,268.0,64.66,-2.32
2020-05-01,215216.0,24824.0,1781.0,281.0,57.33,25.82
2020-05-02,216582.0,25100.0,1366.0,276.0,49.97,22.55
2020-05-03,217466.0,25264.0,884.0,164.0,40.12,20.76
2020-05-04,218011.0,25428.0,545.0,164.0,34.83,18.05
2020-05-05,219329.0,25613.0,1318.0,185.0,28.99,18.07
2020-05-06,220325.0,25857.0,996.0,244.0,22.43,15.64
2020-05-07,221447.0,26070.0,1122.0,213.0,14.6,16.92
2020-05-08,222857.0,26299.0,1410.0,229.0,41.96,16.14
2020-05-09,223578.0,26478.0,721.0,179.0,37.32,14.77
2020-05-10,224390.0,26621.0,812.0,143.0,35.39,14.62
2020-05-11,227436.0,26744.0,3046.0,123.0,37.95,19.9
2020-05-12,228030.0,26920.0,594.0,176.0,36.44,18.38
2020-05-13,228691.0,27104.0,661.0,184.0,33.31,17.67
