fecha,casos_24h,fallecidos_24h
2020-03-22,8592.0,278.0
2020-03-29,48300.0,5248.0
2020-04-05,49267.0,5890.0
2020-04-12,32565.0,4554.0
2020-04-19,29756.0,3473.0
2020-04-26,19148.0,2556.0
2020-05-03,9741.0,1528.0
2020-05-10,6833.0,762.0
2020-05-17,6869.0,416.0
2020-05-24,4331.0,694.0
2020-05-31,4047.0,273.0
2020-06-07,2121.0,16.0
2020-06-14,2378.0,7.0
2020-06-21,2344.0,1161.0
2020-06-28,2498.0,34.0
2020-07-05,2397.0,98.0
2020-07-12,3763.0,123.0
2020-07-19,7615.0,164.0
2020-07-26,13056.0,141.0
2020-08-02,17187.0,18.0
2020-08-09,25882.0,75.0
2020-08-16,32277.0,120.0
2020-08-23,44797.0,223.0
2020-08-30,55328.0,197.0
2020-09-06,61197.0,415.0
2020-09-13,67759.0,331.0
2020-09-20,75726.0,782.0
2020-09-27,76619.0,741.0
2020-10-04,69299.0,834.0
2020-10-11,73368.0,871.0
2020-10-18,80464.0,858.0
2020-10-25,116722.0,1007.0
2020-11-01,140960.0,1176.0
2020-11-08,141838.0,3023.0
2020-11-15,122703.0,1922.0
2020-11-22,91945.0,1864.0
2020-11-29,68524.0,1993.0
2020-12-06,55291.0,1580.0
2020-12-13,47742.0,1370.0
2020-12-20,67013.0,1274.0
2020-12-27,61385.0,909.0
2021-01-03,76983.0,980.0
2021-01-10,134460.0,1093.0
2021-01-17,213236.0,1466.0
2021-01-24,252164.0,2283.0
2021-01-31,234012.0,2876.0
2021-02-07,165222.0,3141.0
2021-02-14,88270.0,3257.0
2021-02-21,55034.0,2270.0
2021-02-28,35642.0,2007.0
2021-03-07,30340.0,1912.0
2021-03-14,34392.0,1054.0
2021-03-21,32832.0,948.0
2021-03-28,40860.0,1816.0
2021-04-04,41344.0,622.0
2021-04-11,54466.0,700.0
2021-04-18,58933.0,615.0
2021-04-25,58889.0,622.0
2021-05-02,53710.0,591.0
2021-05-09,43984.0,588.0
2021-05-16,35929.0,543.0
2021-05-23,31656.0,279.0
2021-05-30,31539.0,265.0
2021-06-06,29231.0,287.0
2021-06-13,34927.0,293.0
2021-06-20,23364.0,161.0
2021-06-27,26505.0,113.0
2021-07-04,62619.0,138.0
2021-07-11,103988.0,90.0
2021-07-18,176878.0,95.0
2021-07-25,180205.0,137.0
2021-08-01,163771.0,321.0
2021-08-08,132938.0,500.0
2021-08-15,98452.0,468.0
2021-08-22,75999.0,704.0
2021-08-29,57152.0,836.0
2021-09-05,43020.0,789.0
2021-09-12,28790.0,479.0
2021-09-19,21177.0,501.0
2021-09-26,16579.0,422.0
2021-10-03,14143.0,232.0
2021-10-10,12271.0,307.0
2021-10-17,11099.0,200.0
2021-10-24,13342.0,156.0
2021-10-31,13502.0,232.0
2021-11-07,15371.0,140.0
2021-11-14,23207.0,163.0
2021-11-21,36545.0,127.0
2021-11-28,53867.0,161.0
2021-12-05,78014.0,208.0
2021-12-12,94610.0,242.0
2021-12-19,180289.0,319.0
2021-12-26,351397.0,341.0
2022-01-02,671628.0,413.0
2022-01-09,792698.0,530.0
2022-01-16,947666.0,841.0
2022-01-23,869406.0,992.0
2022-01-30,742016.0,1227.0
2022-02-06,464871.0,1307.0
2022-02-13,303491.0,1894.0
2022-02-20,195058.0,1935.0
2022-02-27,167338.0,1347.0
2022-03-06,117478.0,832.0
2022-03-13,119974.0,691.0
2022-03-20,107895.0,533.0
2022-03-27,128033.0,544.0
2022-04-03,88076.0,446.0
2022-04-10,78973.0,545.0
2022-04-17,20837.0,98.0
