fecha,casos_24h,fallecidos_24h,IA_14d,IA_7d
2020-04-02,8102.0,950.0,190.61,114.15
2020-04-03,7472.0,932.0,206.39,113.3
2020-04-04,7026.0,809.0,210.78,110.85
2020-04-05,6023.0,674.0,215.8,109.74
2020-04-06,4273.0,637.0,215.29,105.25
2020-04-07,5478.0,743.0,212.95,97.34
2020-04-08,6180.0,757.0,209.24,94.09
2020-04-09,5756.0,683.0,203.28,89.14
2020-04-10,4576.0,605.0,196.33,83.02
2020-04-11,4830.0,510.0,189.23,78.38
2020-04-12,4167.0,619.0,184.2,74.46
2020-04-13,3477.0,517.0,178.03,72.78
2020-04-14,3045.0,567.0,164.99,67.65
2020-04-15,5092.0,523.0,159.44,65.35
2020-04-16,5183.0,551.0,153.27,64.14
2020-04-17,5252.0,348.0,148.59,65.56
2020-04-18,4852.0,565.0,144.0,65.61
2020-04-19,5550.0,410.0,143.0,68.53
2020-04-20,3047.0,399.0,140.41,67.62
2020-04-21,4085.0,430.0,137.47,69.82
2020-04-22,4104.0,435.0,133.08,67.73
2020-04-23,4829.0,440.0,131.12,66.99
2020-04-24,-11545.0,367.0,97.08,31.51
2020-04-25,2915.0,378.0,93.03,27.42
2020-04-26,1729.0,288.0,87.89,19.35
2020-04-27,1831.0,331.0,84.41,16.79
2020-04-28,1308.0,301.0,80.74,10.92
2020-04-29,2144.0,453.0,74.51,6.78
2020-04-30,518.0,268.0,64.66,-2.32
2020-05-01,1781.0,281.0,57.33,25.82
2020-05-02,1366.0,276.0,49.97,22.55
2020-05-03,884.0,164.0,40.12,20.76
2020-05-04,545.0,164.0,34.83,18.05
2020-05-05,1318.0,185.0,28.99,18.07
2020-05-06,996.0,244.0,22.43,15.64
2020-05-07,1122.0,213.0,14.6,16.92
2020-05-08,1410.0,229.0,41.96,16.14
2020-05-09,721.0,179.0,37.32,14.77
2020-05-10,812.0,143.0,35.39,14.62
2020-05-11,3046.0,123.0,37.95,19.9
2020-05-12,594.0,176.0,36.44,18.38
2020-05-13,661.0,184.0,33.31,17.67
2020-05-14,849.0,217.0,34.01,17.09
2020-05-15,643.0,138.0,31.61,15.47
2020-05-16,515.0,104.0,29.81,15.04
2020-05-17,652.0,87.0,29.32,14.7
2020-05-18,256.0,59.0,28.71,8.81
2020-05-19,431.0,69.0,26.84,8.46
2020-05-20,518.0,110.0,25.83,8.16
