fecha,casos_24h,fallecidos_24h
2020-04-12,0.0,0.0
2020-04-19,1274.0,208.0
2020-04-26,1078.0,110.0
2020-05-03,1424.0,85.0
2020-05-10,1042.0,66.0
2020-05-17,844.0,43.0
2020-05-24,710.0,24.0
2020-05-31,691.0,20.0
2020-06-07,664.0,12.0
2020-06-14,634.0,14.0
2020-06-21,446.0,10.0
2020-06-28,378.0,5.0
2020-07-05,429.0,2.0
2020-07-12,360.0,1.0
2020-07-19,615.0,1.0
2020-07-26,468.0,0.0
2020-08-02,1069.0,2.0
2020-08-09,1635.0,2.0
2020-08-16,2207.0,5.0
2020-08-23,2960.0,9.0
2020-08-30,3873.0,14.0
2020-09-06,4226.0,20.0
2020-09-13,4145.0,27.0
2020-09-20,3782.0,28.0
2020-09-27,4012.0,41.0
2020-10-04,3901.0,31.0
2020-10-11,2366.0,26.0
2020-10-18,4827.0,41.0
2020-10-25,6310.0,41.0
2020-11-01,7614.0,60.0
2020-11-08,9081.0,83.0
2020-11-15,11302.0,130.0
2020-11-22,10317.0,157.0
2020-11-29,8522.0,147.0
2020-12-06,8756.0,136.0
2020-12-13,5355.0,104.0
2020-12-20,13567.0,137.0
2020-12-27,9105.0,74.0
2021-01-03,11875.0,196.0
2021-01-10,22019.0,256.0
2021-01-17,35957.0,316.0
2021-01-24,48350.0,571.0
2021-01-31,54135.0,671.0
2021-02-07,36087.0,621.0
2021-02-14,18071.0,535.0
2021-02-21,10885.0,444.0
2021-02-28,3619.0,294.0
2021-03-07,2735.0,154.0
2021-03-14,1767.0,137.0
2021-03-21,966.0,64.0
2021-03-28,1076.0,73.0
2021-04-04,952.0,53.0
2021-04-11,1166.0,36.0
2021-04-18,1117.0,35.0
2021-04-25,1234.0,40.0
2021-05-02,1154.0,34.0
2021-05-09,916.0,48.0
2021-05-16,560.0,29.0
2021-05-23,1116.0,16.0
2021-05-30,1039.0,17.0
2021-06-06,1156.0,9.0
2021-06-13,1168.0,4.0
2021-06-20,1260.0,2.0
2021-06-27,1982.0,3.0
2021-07-04,6899.0,7.0
2021-07-11,10183.0,6.0
2021-07-18,14274.0,7.0
2021-07-25,17199.0,8.0
2021-08-01,16542.0,21.0
2021-08-08,11417.0,31.0
2021-08-15,9706.0,36.0
2021-08-22,7103.0,52.0
2021-08-29,5648.0,33.0
2021-09-05,4187.0,44.0
2021-09-12,2585.0,38.0
2021-09-19,1797.0,22.0
2021-09-26,1400.0,23.0
2021-10-03,1242.0,10.0
2021-10-10,895.0,20.0
2021-10-17,885.0,11.0
2021-10-24,1451.0,8.0
2021-10-31,1597.0,18.0
2021-11-07,1672.0,12.0
2021-11-14,2469.0,17.0
2021-11-21,3627.0,15.0
2021-11-28,5712.0,24.0
2021-12-05,8474.0,26.0
2021-12-12,11109.0,34.0
