fecha,80+ 1dosis,70-79 1dosis,60-69 1dosis,50-59 1dosis,40-49 1dosis,30-39 1dosis,20-29 1dosis,12-19 1dosis,5-11 1dosis,total 1 dosis,80+ 2dosis,70-79 2dosis,60-69 2dosis,50-59 2dosis,40-49 2dosis,30-39 2dosis,20-29 2dosis,12-19 2dosis,5-11 2dosis,total 2 dosis
2021-06-21,100.0,98.2,92.9,85.7,49.6,14.4,11.5,0.7,0.0,48.89394582324701,100.0,95.1,37.3,41.7,10.1,6.9,5.6,0.3,0.0,27.615829861985112
2021-06-22,100.0,98.2,93.0,86.0,51.9,15.0,11.6,0.8,0.0,49.405798153645264,100.0,95.1,37.4,43.8,10.7,7.0,5.7,0.3,0.0,28.061339598007102
2021-06-23,100.0,98.2,93.2,86.3,54.6,16.2,11.7,0.8,0.0,50.0982733798243,100.0,95.3,37.6,48.1,11.8,7.2,5.9,0.3,0.0,28.967979889875195
2021-06-24,100.0,98.3,93.4,86.6,56.9,17.6,11.8,0.8,0.0,50.74610235718917,100.0,95.4,37.9,58.6,12.4,7.4,6.0,0.3,0.0,30.738609703534635
2021-06-25,100.0,98.4,93.5,86.8,58.8,18.7,11.9,0.8,0.0,51.26553095685752,100.0,95.4,37.9,58.6,12.4,7.4,6.0,0.3,0.0,30.740310197844607
2021-06-28,100.0,98.4,93.7,87.2,62.4,20.8,12.0,0.9,0.0,52.24945967712448,100.0,95.5,38.2,63.2,13.6,8.2,6.6,0.3,0.0,31.829892040361823
2021-06-29,100.0,98.4,93.8,87.3,63.9,22.0,12.1,0.9,0.0,52.70178508073469,100.0,95.5,46.7,65.1,15.3,9.6,7.8,0.4,0.0,33.685684981847224
2021-06-30,100.0,98.4,93.9,87.6,66.0,23.7,12.3,0.9,0.0,53.36181617188922,100.0,95.6,48.7,68.0,16.4,9.9,8.1,0.4,0.0,34.58858814087132
2021-07-01,100.0,98.5,94.1,87.8,67.9,25.6,12.5,1.0,0.0,54.008110928383815,100.0,95.6,49.5,72.8,19.4,10.0,8.1,0.4,0.0,35.93970996289956
2021-07-02,100.0,98.5,94.3,88.0,69.9,27.5,12.8,1.1,0.0,54.68451476945749,100.0,95.7,49.7,75.2,22.7,10.1,8.2,0.4,0.0,36.908833534064165
